,date_range,state,covid_conspiracy,covid_hoax,pizzagate,plandemic,wuhan_lab
279,2020-08-01 2020-08-31,Mississippi,0.0,0.0,43.0,15.0,0.0
280,2020-08-01 2020-08-31,Missouri,25.0,12.0,63.0,29.0,41.0
281,2020-08-01 2020-08-31,Montana,53.0,79.0,59.0,37.0,0.0
282,2020-08-01 2020-08-31,Nebraska,0.0,19.0,50.0,18.0,41.0
283,2020-08-01 2020-08-31,Nevada,15.0,11.0,51.0,52.0,48.0
284,2020-08-01 2020-08-31,New Hampshire,0.0,50.0,46.0,48.0,0.0
285,2020-08-01 2020-08-31,New Jersey,9.0,10.0,36.0,35.0,22.0
286,2020-08-01 2020-08-31,New Mexico,24.0,0.0,57.0,17.0,0.0
287,2020-08-01 2020-08-31,New York,10.0,7.0,35.0,27.0,16.0
288,2020-08-01 2020-08-31,North Carolina,12.0,12.0,50.0,28.0,39.0
289,2020-08-01 2020-08-31,North Dakota,0.0,0.0,85.0,0.0,0.0
290,2020-08-01 2020-08-31,Ohio,16.0,15.0,64.0,17.0,13.0
291,2020-08-01 2020-08-31,Oklahoma,30.0,34.0,73.0,0.0,0.0
292,2020-08-01 2020-08-31,Oregon,44.0,25.0,58.0,31.0,18.0
293,2020-08-01 2020-08-31,Pennsylvania,18.0,24.0,53.0,38.0,41.0
294,2020-08-01 2020-08-31,Rhode Island,39.0,0.0,24.0,0.0,64.0
295,2020-08-01 2020-08-31,South Carolina,20.0,15.0,56.0,7.0,100.0
296,2020-08-01 2020-08-31,South Dakota,0.0,100.0,100.0,47.0,0.0
297,2020-08-01 2020-08-31,Tennessee,35.0,26.0,55.0,10.0,11.0
298,2020-08-01 2020-08-31,Texas,22.0,9.0,51.0,33.0,24.0
299,2020-08-01 2020-08-31,Utah,29.0,0.0,73.0,41.0,24.0
300,2020-08-01 2020-08-31,Vermont,0.0,0.0,10.0,55.0,0.0
301,2020-08-01 2020-08-31,Virginia,10.0,14.0,45.0,17.0,39.0
302,2020-08-01 2020-08-31,Washington,24.0,13.0,55.0,63.0,19.0
303,2020-08-01 2020-08-31,West Virginia,0.0,0.0,92.0,26.0,0.0
304,2020-08-01 2020-08-31,Wisconsin,50.0,44.0,54.0,42.0,27.0
305,2020-08-01 2020-08-31,Wyoming,0.0,0.0,50.0,0.0,0.0
306,2020-09-01 2020-09-30,Alabama,16.0,30.0,42.0,0.0,16.0
307,2020-09-01 2020-09-30,Alaska,0.0,0.0,0.0,76.0,0.0
308,2020-09-01 2020-09-30,Arizona,37.0,54.0,60.0,11.0,19.0
309,2020-09-01 2020-09-30,Arkansas,0.0,0.0,58.0,0.0,0.0
310,2020-09-01 2020-09-30,California,18.0,24.0,50.0,25.0,10.0
311,2020-09-01 2020-09-30,Colorado,72.0,49.0,28.0,19.0,0.0
312,2020-09-01 2020-09-30,Connecticut,32.0,0.0,43.0,29.0,8.0
313,2020-09-01 2020-09-30,Delaware,69.0,0.0,37.0,42.0,0.0
314,2020-09-01 2020-09-30,District of Columbia,0.0,0.0,38.0,0.0,0.0
315,2020-09-01 2020-09-30,Florida,9.0,26.0,42.0,24.0,9.0
316,2020-09-01 2020-09-30,Georgia,5.0,25.0,42.0,3.0,5.0
317,2020-09-01 2020-09-30,Hawaii,0.0,0.0,27.0,93.0,25.0
318,2020-09-01 2020-09-30,Idaho,0.0,42.0,0.0,80.0,22.0
319,2020-09-01 2020-09-30,Illinois,23.0,31.0,57.0,11.0,9.0
320,2020-09-01 2020-09-30,Indiana,22.0,74.0,48.0,20.0,17.0
321,2020-09-01 2020-09-30,Iowa,23.0,67.0,25.0,0.0,12.0
322,2020-09-01 2020-09-30,Kansas,0.0,26.0,29.0,50.0,0.0
323,2020-09-01 2020-09-30,Kentucky,34.0,16.0,27.0,10.0,17.0
324,2020-09-01 2020-09-30,Louisiana,52.0,33.0,56.0,21.0,26.0
325,2020-09-01 2020-09-30,Maine,0.0,0.0,27.0,92.0,25.0
326,2020-09-01 2020-09-30,Maryland,10.0,27.0,46.0,23.0,19.0
327,2020-09-01 2020-09-30,Massachusetts,17.0,8.0,53.0,10.0,8.0
328,2020-09-01 2020-09-30,Michigan,13.0,39.0,91.0,12.0,7.0
329,2020-09-01 2020-09-30,Minnesota,23.0,33.0,38.0,7.0,12.0
330,2020-09-01 2020-09-30,Mississippi,0.0,0.0,50.0,19.0,15.0
331,2020-09-01 2020-09-30,Missouri,23.0,11.0,43.0,0.0,17.0
332,2020-09-01 2020-09-30,Montana,0.0,0.0,79.0,45.0,37.0
333,2020-09-01 2020-09-30,Nebraska,0.0,33.0,19.0,43.0,17.0
334,2020-09-01 2020-09-30,Nevada,0.0,20.0,67.0,25.0,10.0
335,2020-09-01 2020-09-30,New Hampshire,0.0,46.0,26.0,59.0,0.0
336,2020-09-01 2020-09-30,New Jersey,12.0,36.0,40.0,8.0,16.0
337,2020-09-01 2020-09-30,New Mexico,35.0,100.0,75.0,43.0,17.0
338,2020-09-01 2020-09-30,New York,16.0,13.0,42.0,10.0,12.0
339,2020-09-01 2020-09-30,North Carolina,11.0,38.0,49.0,7.0,9.0
340,2020-09-01 2020-09-30,North Dakota,100.0,0.0,0.0,0.0,100.0
341,2020-09-01 2020-09-30,Ohio,28.0,11.0,70.0,17.0,0.0
342,2020-09-01 2020-09-30,Oklahoma,42.0,0.0,45.0,26.0,10.0
343,2020-09-01 2020-09-30,Oregon,75.0,43.0,41.0,37.0,23.0
344,2020-09-01 2020-09-30,Pennsylvania,15.0,29.0,73.0,6.0,18.0
345,2020-09-01 2020-09-30,Rhode Island,0.0,52.0,29.0,0.0,0.0
346,2020-09-01 2020-09-30,South Carolina,14.0,0.0,61.0,0.0,7.0
347,2020-09-01 2020-09-30,South Dakota,0.0,0.0,100.0,57.0,0.0
348,2020-09-01 2020-09-30,Tennessee,20.0,29.0,49.0,31.0,0.0
349,2020-09-01 2020-09-30,Texas,8.0,14.0,53.0,24.0,5.0
350,2020-09-01 2020-09-30,Utah,0.0,19.0,44.0,100.0,0.0
351,2020-09-01 2020-09-30,Vermont,0.0,0.0,0.0,0.0,56.0
352,2020-09-01 2020-09-30,Virginia,32.0,31.0,45.0,8.0,16.0
353,2020-09-01 2020-09-30,Washington,24.0,23.0,57.0,45.0,8.0
354,2020-09-01 2020-09-30,West Virginia,0.0,50.0,28.0,0.0,0.0
355,2020-09-01 2020-09-30,Wisconsin,35.0,33.0,81.0,0.0,6.0
356,2020-09-01 2020-09-30,Wyoming,0.0,0.0,77.0,0.0,0.0
357,2020-10-01 2020-10-31,Alabama,0.0,32.0,16.0,0.0,0.0
358,2020-10-01 2020-10-31,Alaska,0.0,0.0,44.0,100.0,0.0
359,2020-10-01 2020-10-31,Arizona,20.0,32.0,26.0,0.0,10.0
360,2020-10-01 2020-10-31,Arkansas,30.0,10.0,19.0,0.0,0.0
361,2020-10-01 2020-10-31,California,18.0,24.0,29.0,7.0,10.0
362,2020-10-01 2020-10-31,Colorado,34.0,15.0,26.0,25.0,11.0
363,2020-10-01 2020-10-31,Connecticut,52.0,28.0,22.0,0.0,0.0
364,2020-10-01 2020-10-31,Delaware,0.0,47.0,72.0,0.0,0.0
365,2020-10-01 2020-10-31,District of Columbia,0.0,0.0,25.0,0.0,0.0
366,2020-10-01 2020-10-31,Florida,15.0,29.0,21.0,11.0,6.0
367,2020-10-01 2020-10-31,Georgia,28.0,14.0,13.0,21.0,5.0
368,2020-10-01 2020-10-31,Hawaii,0.0,0.0,0.0,42.0,0.0
369,2020-10-01 2020-10-31,Idaho,0.0,0.0,45.0,34.0,0.0
370,2020-10-01 2020-10-31,Illinois,15.0,18.0,24.0,15.0,0.0
371,2020-10-01 2020-10-31,Indiana,23.0,11.0,34.0,0.0,22.0
372,2020-10-01 2020-10-31,Iowa,0.0,25.0,17.0,0.0,0.0
373,2020-10-01 2020-10-31,Kansas,0.0,9.0,57.0,0.0,28.0
374,2020-10-01 2020-10-31,Kentucky,19.0,24.0,24.0,0.0,18.0
375,2020-10-01 2020-10-31,Louisiana,37.0,0.0,30.0,14.0,0.0
376,2020-10-01 2020-10-31,Maine,0.0,18.0,18.0,42.0,0.0
377,2020-10-01 2020-10-31,Maryland,10.0,29.0,13.0,0.0,10.0
378,2020-10-01 2020-10-31,Massachusetts,18.0,20.0,15.0,13.0,17.0
379,2020-10-01 2020-10-31,Michigan,22.0,26.0,17.0,11.0,21.0
380,2020-10-01 2020-10-31,Minnesota,25.0,28.0,20.0,0.0,12.0
381,2020-10-01 2020-10-31,Mississippi,0.0,0.0,11.0,0.0,0.0
382,2020-10-01 2020-10-31,Missouri,49.0,8.0,12.0,9.0,12.0
383,2020-10-01 2020-10-31,Montana,0.0,51.0,51.0,58.0,0.0
384,2020-10-01 2020-10-31,Nebraska,38.0,24.0,0.0,28.0,0.0
385,2020-10-01 2020-10-31,Nevada,22.0,14.0,36.0,33.0,22.0
386,2020-10-01 2020-10-31,New Hampshire,0.0,16.0,33.0,0.0,49.0
387,2020-10-01 2020-10-31,New Jersey,0.0,13.0,25.0,10.0,13.0
388,2020-10-01 2020-10-31,New Mexico,37.0,47.0,24.0,0.0,0.0
389,2020-10-01 2020-10-31,New York,31.0,14.0,14.0,4.0,8.0
390,2020-10-01 2020-10-31,North Carolina,19.0,10.0,18.0,5.0,0.0
391,2020-10-01 2020-10-31,North Dakota,0.0,100.0,0.0,0.0,100.0
392,2020-10-01 2020-10-31,Ohio,6.0,21.0,13.0,4.0,11.0
393,2020-10-01 2020-10-31,Oklahoma,0.0,7.0,29.0,0.0,22.0
394,2020-10-01 2020-10-31,Oregon,34.0,22.0,33.0,12.0,16.0
395,2020-10-01 2020-10-31,Pennsylvania,5.0,21.0,21.0,12.0,10.0
396,2020-10-01 2020-10-31,Rhode Island,0.0,19.0,57.0,0.0,0.0
397,2020-10-01 2020-10-31,South Carolina,0.0,15.0,20.0,11.0,0.0
398,2020-10-01 2020-10-31,South Dakota,100.0,0.0,0.0,0.0,0.0
399,2020-10-01 2020-10-31,Tennessee,0.0,14.0,21.0,0.0,20.0
400,2020-10-01 2020-10-31,Texas,18.0,11.0,20.0,3.0,2.0
401,2020-10-01 2020-10-31,Utah,22.0,21.0,43.0,16.0,21.0
402,2020-10-01 2020-10-31,Vermont,0.0,78.0,0.0,0.0,0.0
403,2020-10-01 2020-10-31,Virginia,14.0,22.0,33.0,5.0,7.0
404,2020-10-01 2020-10-31,Washington,44.0,28.0,14.0,13.0,17.0
405,2020-10-01 2020-10-31,West Virginia,51.0,0.0,17.0,0.0,0.0
406,2020-10-01 2020-10-31,Wisconsin,37.0,32.0,28.0,19.0,12.0
407,2020-10-01 2020-10-31,Wyoming,0.0,0.0,100.0,0.0,0.0
408,2020-11-01 2020-11-30,Alabama,10.0,12.0,9.0,0.0,0.0
409,2020-11-01 2020-11-30,Alaska,0.0,100.0,0.0,100.0,0.0
410,2020-11-01 2020-11-30,Arizona,0.0,14.0,16.0,14.0,0.0
411,2020-11-01 2020-11-30,Arkansas,19.0,22.0,0.0,0.0,0.0
412,2020-11-01 2020-11-30,California,14.0,10.0,17.0,12.0,6.0
413,2020-11-01 2020-11-30,Colorado,7.0,58.0,18.0,25.0,0.0
414,2020-11-01 2020-11-30,Connecticut,32.0,13.0,28.0,25.0,0.0
415,2020-11-01 2020-11-30,Delaware,0.0,0.0,40.0,0.0,0.0
416,2020-11-01 2020-11-30,District of Columbia,100.0,60.0,0.0,0.0,0.0
417,2020-11-01 2020-11-30,Florida,9.0,11.0,23.0,13.0,4.0
418,2020-11-01 2020-11-30,Georgia,0.0,0.0,19.0,8.0,7.0
419,2020-11-01 2020-11-30,Hawaii,35.0,0.0,0.0,0.0,0.0
420,2020-11-01 2020-11-30,Idaho,28.0,68.0,25.0,0.0,0.0
421,2020-11-01 2020-11-30,Illinois,15.0,15.0,19.0,19.0,19.0
422,2020-11-01 2020-11-30,Indiana,7.0,17.0,25.0,0.0,14.0
423,2020-11-01 2020-11-30,Iowa,0.0,37.0,27.0,0.0,31.0
424,2020-11-01 2020-11-30,Kansas,35.0,0.0,46.0,21.0,36.0
425,2020-11-01 2020-11-30,Kentucky,11.0,41.0,30.0,0.0,23.0
426,2020-11-01 2020-11-30,Louisiana,11.0,14.0,10.0,0.0,23.0
427,2020-11-01 2020-11-30,Maine,0.0,0.0,31.0,85.0,0.0
428,2020-11-01 2020-11-30,Maryland,6.0,15.0,16.0,0.0,13.0
429,2020-11-01 2020-11-30,Massachusetts,17.0,27.0,64.0,13.0,0.0
430,2020-11-01 2020-11-30,Michigan,14.0,16.0,24.0,11.0,9.0
431,2020-11-01 2020-11-30,Minnesota,8.0,36.0,20.0,18.0,0.0
432,2020-11-01 2020-11-30,Mississippi,0.0,48.0,18.0,0.0,0.0
433,2020-11-01 2020-11-30,Missouri,8.0,28.0,54.0,0.0,0.0
434,2020-11-01 2020-11-30,Montana,0.0,0.0,0.0,0.0,100.0
435,2020-11-01 2020-11-30,Nebraska,0.0,28.0,0.0,0.0,47.0
436,2020-11-01 2020-11-30,Nevada,41.0,0.0,12.0,0.0,0.0
437,2020-11-01 2020-11-30,New Hampshire,0.0,38.0,28.0,37.0,0.0
438,2020-11-01 2020-11-30,New Jersey,21.0,31.0,38.0,20.0,0.0
439,2020-11-01 2020-11-30,New Mexico,45.0,0.0,40.0,0.0,0.0
440,2020-11-01 2020-11-30,New York,12.0,9.0,17.0,19.0,36.0
441,2020-11-01 2020-11-30,North Carolina,8.0,14.0,14.0,14.0,16.0
442,2020-11-01 2020-11-30,North Dakota,0.0,0.0,56.0,0.0,0.0
443,2020-11-01 2020-11-30,Ohio,14.0,43.0,19.0,13.0,7.0
444,2020-11-01 2020-11-30,Oklahoma,0.0,16.0,24.0,16.0,0.0
445,2020-11-01 2020-11-30,Oregon,31.0,24.0,18.0,0.0,0.0
446,2020-11-01 2020-11-30,Pennsylvania,19.0,15.0,39.0,8.0,13.0
447,2020-11-01 2020-11-30,Rhode Island,0.0,90.0,100.0,0.0,0.0
448,2020-11-01 2020-11-30,South Carolina,10.0,23.0,50.0,0.0,0.0
449,2020-11-01 2020-11-30,South Dakota,0.0,0.0,0.0,0.0,0.0
450,2020-11-01 2020-11-30,Tennessee,19.0,0.0,23.0,8.0,13.0
451,2020-11-01 2020-11-30,Texas,15.0,12.0,29.0,12.0,6.0
452,2020-11-01 2020-11-30,Utah,27.0,48.0,12.0,16.0,0.0
453,2020-11-01 2020-11-30,Vermont,0.0,92.0,0.0,0.0,0.0
454,2020-11-01 2020-11-30,Virginia,5.0,22.0,12.0,0.0,0.0
455,2020-11-01 2020-11-30,Washington,11.0,13.0,28.0,26.0,0.0
456,2020-11-01 2020-11-30,West Virginia,0.0,0.0,0.0,0.0,62.0
457,2020-11-01 2020-11-30,Wisconsin,15.0,46.0,0.0,46.0,0.0
458,2020-11-01 2020-11-30,Wyoming,95.0,0.0,0.0,0.0,0.0
459,2020-12-01 2020-12-31,Alabama,19.0,22.0,56.0,0.0,21.0
460,2020-12-01 2020-12-31,Alaska,0.0,0.0,0.0,0.0,0.0
461,2020-12-01 2020-12-31,Arizona,15.0,13.0,57.0,0.0,26.0
462,2020-12-01 2020-12-31,Arkansas,11.0,0.0,100.0,0.0,19.0
463,2020-12-01 2020-12-31,California,16.0,49.0,21.0,34.0,10.0
464,2020-12-01 2020-12-31,Colorado,22.0,74.0,13.0,13.0,22.0
465,2020-12-01 2020-12-31,Connecticut,13.0,23.0,39.0,0.0,11.0
466,2020-12-01 2020-12-31,Delaware,0.0,95.0,0.0,0.0,46.0
467,2020-12-01 2020-12-31,District of Columbia,0.0,0.0,0.0,0.0,0.0
468,2020-12-01 2020-12-31,Florida,8.0,24.0,34.0,14.0,10.0
469,2020-12-01 2020-12-31,Georgia,7.0,30.0,32.0,13.0,11.0
470,2020-12-01 2020-12-31,Hawaii,0.0,0.0,0.0,0.0,0.0
471,2020-12-01 2020-12-31,Idaho,18.0,0.0,0.0,54.0,0.0
472,2020-12-01 2020-12-31,Illinois,10.0,33.0,29.0,11.0,36.0
473,2020-12-01 2020-12-31,Indiana,0.0,0.0,13.0,13.0,0.0
474,2020-12-01 2020-12-31,Iowa,10.0,0.0,0.0,28.0,32.0
475,2020-12-01 2020-12-31,Kansas,0.0,0.0,32.0,0.0,18.0
476,2020-12-01 2020-12-31,Kentucky,14.0,0.0,42.0,0.0,12.0
477,2020-12-01 2020-12-31,Louisiana,21.0,49.0,42.0,21.0,0.0
478,2020-12-01 2020-12-31,Maine,0.0,0.0,0.0,0.0,0.0
479,2020-12-01 2020-12-31,Maryland,4.0,26.0,22.0,11.0,6.0
480,2020-12-01 2020-12-31,Massachusetts,11.0,12.0,31.0,0.0,6.0
481,2020-12-01 2020-12-31,Michigan,11.0,48.0,25.0,8.0,9.0
482,2020-12-01 2020-12-31,Minnesota,19.0,16.0,28.0,14.0,8.0
483,2020-12-01 2020-12-31,Mississippi,37.0,0.0,37.0,36.0,62.0
484,2020-12-01 2020-12-31,Missouri,15.0,17.0,29.0,14.0,16.0
485,2020-12-01 2020-12-31,Montana,0.0,0.0,0.0,0.0,52.0
486,2020-12-01 2020-12-31,Nebraska,29.0,0.0,42.0,42.0,24.0
487,2020-12-01 2020-12-31,Nevada,9.0,29.0,25.0,100.0,14.0
488,2020-12-01 2020-12-31,New Hampshire,39.0,0.0,0.0,0.0,66.0
489,2020-12-01 2020-12-31,New Jersey,11.0,36.0,31.0,8.0,9.0
490,2020-12-01 2020-12-31,New Mexico,0.0,100.0,0.0,0.0,0.0
491,2020-12-01 2020-12-31,New York,9.0,34.0,17.0,13.0,21.0
492,2020-12-01 2020-12-31,North Carolina,10.0,25.0,51.0,14.0,12.0
493,2020-12-01 2020-12-31,North Dakota,0.0,0.0,0.0,0.0,0.0
494,2020-12-01 2020-12-31,Ohio,13.0,60.0,26.0,6.0,7.0
495,2020-12-01 2020-12-31,Oklahoma,17.0,58.0,51.0,0.0,14.0
496,2020-12-01 2020-12-31,Oregon,13.0,22.0,57.0,38.0,0.0
497,2020-12-01 2020-12-31,Pennsylvania,16.0,21.0,24.0,18.0,23.0
498,2020-12-01 2020-12-31,Rhode Island,100.0,85.0,0.0,0.0,0.0
499,2020-12-01 2020-12-31,South Carolina,12.0,20.0,17.0,0.0,0.0
500,2020-12-01 2020-12-31,South Dakota,39.0,0.0,0.0,0.0,0.0
501,2020-12-01 2020-12-31,Tennessee,24.0,41.0,12.0,0.0,7.0
502,2020-12-01 2020-12-31,Texas,13.0,12.0,31.0,23.0,6.0
503,2020-12-01 2020-12-31,Utah,9.0,30.0,51.0,25.0,15.0
504,2020-12-01 2020-12-31,Vermont,48.0,0.0,0.0,0.0,0.0
505,2020-12-01 2020-12-31,Virginia,14.0,29.0,33.0,33.0,23.0
506,2020-12-01 2020-12-31,Washington,24.0,36.0,41.0,20.0,17.0
507,2020-12-01 2020-12-31,West Virginia,19.0,0.0,0.0,0.0,0.0
508,2020-12-01 2020-12-31,Wisconsin,5.0,32.0,0.0,0.0,0.0
509,2020-12-01 2020-12-31,Wyoming,0.0,0.0,0.0,0.0,100.0
510,2021-01-01 2021-01-31,Alabama,14.0,0.0,23.0,21.0,16.0
511,2021-01-01 2021-01-31,Alaska,0.0,0.0,0.0,89.0,0.0
512,2021-01-01 2021-01-31,Arizona,43.0,5.0,41.0,19.0,29.0
513,2021-01-01 2021-01-31,Arkansas,51.0,0.0,41.0,19.0,0.0
514,2021-01-01 2021-01-31,California,22.0,8.0,40.0,16.0,12.0
515,2021-01-01 2021-01-31,Colorado,30.0,6.0,8.0,22.0,0.0
516,2021-01-01 2021-01-31,Connecticut,0.0,0.0,25.0,0.0,35.0
517,2021-01-01 2021-01-31,Delaware,64.0,0.0,0.0,0.0,72.0
518,2021-01-01 2021-01-31,District of Columbia,74.0,0.0,59.0,54.0,83.0
519,2021-01-01 2021-01-31,Florida,13.0,4.0,36.0,8.0,12.0
520,2021-01-01 2021-01-31,Georgia,10.0,0.0,28.0,11.0,22.0
521,2021-01-01 2021-01-31,Hawaii,0.0,0.0,41.0,0.0,0.0
522,2021-01-01 2021-01-31,Idaho,83.0,23.0,100.0,30.0,0.0
523,2021-01-01 2021-01-31,Illinois,23.0,10.0,22.0,3.0,5.0
524,2021-01-01 2021-01-31,Indiana,0.0,17.0,16.0,15.0,23.0
525,2021-01-01 2021-01-31,Iowa,0.0,13.0,18.0,16.0,25.0
526,2021-01-01 2021-01-31,Kansas,0.0,14.0,61.0,18.0,57.0
527,2021-01-01 2021-01-31,Kentucky,32.0,0.0,0.0,0.0,36.0
528,2021-01-01 2021-01-31,Louisiana,0.0,9.0,26.0,12.0,18.0
529,2021-01-01 2021-01-31,Maine,0.0,0.0,0.0,0.0,0.0
530,2021-01-01 2021-01-31,Maryland,26.0,0.0,35.0,13.0,10.0
531,2021-01-01 2021-01-31,Massachusetts,8.0,5.0,32.0,6.0,36.0
532,2021-01-01 2021-01-31,Michigan,26.0,0.0,26.0,9.0,7.0
533,2021-01-01 2021-01-31,Minnesota,44.0,19.0,71.0,0.0,0.0
534,2021-01-01 2021-01-31,Mississippi,0.0,0.0,0.0,0.0,64.0
535,2021-01-01 2021-01-31,Missouri,0.0,6.0,62.0,0.0,25.0
536,2021-01-01 2021-01-31,Montana,0.0,40.0,56.0,0.0,0.0
537,2021-01-01 2021-01-31,Nebraska,0.0,0.0,27.0,0.0,0.0
538,2021-01-01 2021-01-31,Nevada,19.0,11.0,77.0,0.0,43.0
539,2021-01-01 2021-01-31,New Hampshire,0.0,0.0,0.0,0.0,0.0
540,2021-01-01 2021-01-31,New Jersey,6.0,7.0,20.0,4.0,42.0
541,2021-01-01 2021-01-31,New Mexico,100.0,19.0,80.0,0.0,37.0
542,2021-01-01 2021-01-31,New York,23.0,9.0,39.0,4.0,17.0
543,2021-01-01 2021-01-31,North Carolina,27.0,3.0,48.0,16.0,19.0
544,2021-01-01 2021-01-31,North Dakota,0.0,0.0,0.0,0.0,0.0
545,2021-01-01 2021-01-31,Ohio,5.0,8.0,36.0,0.0,11.0
546,2021-01-01 2021-01-31,Oklahoma,0.0,0.0,16.0,0.0,0.0
547,2021-01-01 2021-01-31,Oregon,59.0,8.0,36.0,0.0,17.0
548,2021-01-01 2021-01-31,Pennsylvania,23.0,8.0,30.0,7.0,5.0
549,2021-01-01 2021-01-31,Rhode Island,0.0,0.0,0.0,0.0,0.0
550,2021-01-01 2021-01-31,South Carolina,39.0,7.0,52.0,0.0,15.0
551,2021-01-01 2021-01-31,South Dakota,89.0,100.0,0.0,0.0,100.0
552,2021-01-01 2021-01-31,Tennessee,9.0,5.0,22.0,7.0,10.0
553,2021-01-01 2021-01-31,Texas,24.0,4.0,35.0,9.0,20.0
554,2021-01-01 2021-01-31,Utah,0.0,0.0,79.0,0.0,0.0
555,2021-01-01 2021-01-31,Vermont,0.0,0.0,0.0,0.0,0.0
556,2021-01-01 2021-01-31,Virginia,19.0,14.0,10.0,5.0,14.0
557,2021-01-01 2021-01-31,Washington,23.0,4.0,12.0,0.0,52.0
558,2021-01-01 2021-01-31,West Virginia,0.0,0.0,35.0,0.0,0.0
559,2021-01-01 2021-01-31,Wisconsin,11.0,6.0,45.0,8.0,0.0
560,2021-01-01 2021-01-31,Wyoming,0.0,0.0,0.0,100.0,0.0
