,state,positive,probableCases,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,non_residential_percent_change_from_baseline,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,ConfirmedCases,ConfirmedDeaths,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,pop_2019,GDP_2019,Unemployment_rate_2019,Median_Household_Income_2019,Percent_less_than_high_school,Percent_bachelor_or_higher,Percent_some_college_or_associate,Percent_high_school_only,AverageTemperature,Urbanization_rate,White,Black,American_Native,Asian,Pacific_Islander,pc_misconception,not_at_all,not_very,somewhat,very,error_margin,N,misinformation_index,deaths_pth,hospitalized_pth,positivity_rate,state_code
0,Alabama,136385.30211480364,27217.243902439026,760604.7012195121,33.0,869817.5075528701,1171.56050955414,15107.151815181518,,1471.1013513513512,,835.597972972973,87077.04705882353,,,,116157.38066465256,2341.8795620437954,271.0813008130081,,869817.5075528701,,,,72465.09150326798,,,,,,,1.0,1388.6374622356495,5372.767371601209,890096.7039274925,6467.3867069486405,890096.3051359516,,23.226586102719033,126.46223564954683,0.0,0.0,0.0,0.0,0.0,,-13.465256797583082,-0.770392749244713,20.942598187311177,-8.060422960725075,-25.19335347432024,7.45619335347432,-5.309365558912386,2.377643504531722,0.12852664576802508,1.4290030211480362,0.8291925465838509,1.163141993957704,0.8848684210526315,0.7311178247734139,0.36923076923076925,0.5166163141993958,0.0,1.0604229607250755,0.964968152866242,0.0,,0.0,136602.32024169184,2154.4712990936555,36.371842900302056,40.9892447129909,43.21102719033234,4903185.0,202940.29999999877,3.0,51771.0,14.199999999999912,24.89999999999985,29.89999999999981,30.899999999999807,17.10999999999994,59.0,0.6941143618937814,0.271610298415443,0.01386847141152832,0.01863314997637987,0.0017737183028672552,0.16,4.116666666666667,7.016666666666666,25.41666666666666,63.51666666666667,5.866666666666667,419.8333333333333,57.44383333333334,0.00473704053645111,0.025791854814686134,0.21471384427092943,AL
1,Alaska,13197.732087227414,,,8.5,456334.7921686747,57.07612456747405,346.4437689969605,,,7.689516129032258,,2153.1071428571427,456334.7921686747,26914.18994413408,761992.7709497206,,58.75609756097561,,,,,,,,,,,,,,2.0,158.4277108433735,0.0,12760.66265060241,4519.027108433735,12760.4578313253,,0.7891566265060241,3.6295180722891565,0.0,0.0,0.0,0.0,0.0,,-6.728915662650603,2.463855421686747,69.20915032679738,-20.631921824104236,-24.41867469879518,7.819277108433735,3.1000000000000014,2.8704819277108435,0.40372670807453415,1.1867469879518073,0.23293172690763053,0.7620481927710844,0.5251798561151079,3.0301204819277108,0.37888198757763975,0.4036144578313253,0.0,0.7469879518072289,0.12558139534883722,1.6927710843373494,0.9225806451612903,1.9337349397590362,13451.298192771084,64.53012048192771,53.17243975903594,52.371174698795144,52.854879518072224,731545.0,54442.90000000014,6.099999999999963,77203.0,7.300000000000001,29.200000000000003,35.5,28.0,-3.0,66.0,0.6645422935903845,0.04945292972770878,0.18720500957988578,0.07987996408015996,0.018919803021863805,0.16,3.9166666666666665,9.783333333333333,24.95,61.366666666666674,11.516666666666666,124.83333333333333,53.79816666666667,0.0010787533596785218,0.004961441978674116,0.03505792442530479,AK
2,Arizona,201980.8502994012,9544.242553191489,1006277.7305389221,44.24,1984201.880239521,1937.8809523809523,16354.311377245509,516.4863945578231,,337.9149659863946,,34193.65529010239,1984201.880239521,12089.0,,272296.91914893617,5290.370212765957,419.97872340425533,,1201593.8293413173,266046.7518518519,2200.0,,,,,,,,,4.0,2270.6646706586826,8224.59880239521,1208261.8922155688,20056.04491017964,1208258.5808383233,,39.2814371257485,157.96407185628743,0.0,0.0,0.0,0.0,0.0,,-22.18562874251497,-9.778443113772456,-16.637724550898202,-27.661676646706585,-32.961077844311376,10.284431137724551,-21.84491017964073,2.37125748502994,0.47335423197492166,1.7035928143712575,0.5856697819314641,1.2335329341317365,1.0,1.6347305389221556,1.0,0.3383233532934132,0.9292035398230089,0.6706586826347305,1.0,0.2215568862275449,1.0,0.2215568862275449,201990.2724550898,4162.688622754491,42.069640718562916,47.66242514970054,46.3355389221558,7278717.0,321431.9000000016,4.700000000000028,62027.0,13.19999999999992,28.899999999999817,33.89999999999979,24.0,15.719999999999988,89.79999999999951,0.8262308194847798,0.06157615563049389,0.06103282447128355,0.04620817824563835,0.004952022167804774,0.14,3.716666666666667,6.166666666666667,26.900000000000002,63.26666666666666,6.033333333333332,436.3333333333333,56.34250000000001,0.005396752906555991,0.02170218623093705,0.11321597457663174,AZ
3,Arkansas,80232.93674698795,20588.403973509932,765161.9909638554,47.588235294117645,836040.626506024,526.8955696202531,4944.75816993464,313.14084507042253,43.0,98.47603833865814,583.0915032679738,74673.9073482428,836040.626506024,,1311965.8563218392,70869.59036144578,2265.1267605633802,331.88732394366195,,,,,,,,,144446.88970588235,26901.125,10460.673469387755,1603.530612244898,5.0,889.3614457831326,6614.048192771084,845397.3644578314,7323.891566265061,845394.9277108434,,14.662650602409638,40.993975903614455,0.0,0.0,0.0,0.0,0.0,,-9.572289156626505,1.6144578313253013,57.50769230769231,-6.13855421686747,-24.17168674698795,6.448795180722891,3.574397590361448,2.1265060240963853,0.6219081272084805,1.8373493975903614,0.8629283489096573,1.0933734939759037,0.9907692307692307,3.1325301204819276,0.9907692307692307,0.8012048192771084,0.0,0.25,1.0,0.2469879518072289,1.0,0.2469879518072289,80259.96385542168,1261.433734939759,44.01180722891537,44.86996987951811,47.252951807228854,3017804.0,119443.39999999925,3.5,49020.0,13.800000000000086,22.60000000000013,29.5,34.10000000000021,15.780000000000014,56.20000000000036,0.7925399093734897,0.1622226129746877,0.020020342875573187,0.02051450441847116,0.004702630357774868,0.15,4.266666666666667,9.799999999999999,28.5,57.43333333333334,6.666666666666665,372.5,54.048833333333334,0.0048587153448035846,0.013584041874029743,0.12143290731933612,AR
4,California,777872.260479042,,70570.04081632652,29110.714285714286,12607453.032934131,7525.12540192926,,1875.40192926045,,,,,12607453.032934131,,,931841.8848920864,,,,,,,,,,,,,,,6.0,9710.464071856288,-1.3832335329341316,790665.7694610779,126582.34431137725,788225.3502994012,,121.84730538922156,0.0,0.0,0.0,0.0,0.0,0.0,,-32.43712574850299,-10.164670658682635,-11.883233532934131,-42.862275449101794,-36.455089820359284,13.365269461077844,-26.760479041916195,2.9251497005988023,0.4501510574018127,2.0778443113772456,0.1557632398753894,1.970059880239521,0.7099697885196374,3.7095808383233533,0.5198776758409785,0.0,,1.3353293413173652,0.7889908256880734,1.2035928143712575,0.896551724137931,1.2395209580838322,798107.6047904191,12253.835329341317,61.11437125748512,63.71748502994021,60.22637724550911,39512223.0,2792029.1000000155,4.0,80423.0,17.100000000000055,33.299999999999905,29.100000000000183,20.60000000000011,15.219999999999978,95.0,0.7227934318117089,0.07343685483431006,0.02640976620983535,0.16851015596113494,0.008849791183013425,0.15,2.983333333333333,4.983333333333333,20.2,71.83333333333333,4.216666666666667,750.6666666666666,62.68683333333333,0.0030837876519683935,0.0,0.07671262627250544,CA
5,Colorado,104216.68862275449,6448.0352112676055,736062.1556886227,30.25,1515891.4556574924,678.1261829652997,8331.395638629283,,,,,8395.830388692579,,,,115463.87676056338,2171.0725190839694,418.6832061068702,1515891.4556574924,868975.445482866,169803.0,14628.007462686568,154747.03358208956,,,,,,,,8.0,1186.1586826347304,6023.122754491018,840279.2065868264,16323.502994011977,840278.8443113773,,16.877245508982035,65.36826347305389,0.0,0.0,0.0,0.0,0.0,,-21.01197604790419,-4.580838323353293,36.050898203592816,-34.67065868263473,-33.44311377245509,10.694610778443113,-11.531137724550888,2.1167664670658684,0.21739130434782608,2.0808383233532934,0.5634674922600619,1.2934131736526946,0.9447852760736196,3.8802395209580838,0.7914110429447853,0.9640718562874252,0.2826086956521739,1.122754491017964,0.5127388535031847,0.39221556886227543,0.8991596638655462,0.0,104214.94011976047,2107.425149700599,50.635389221557,51.413173652694766,49.52383233532936,5758736.0,353076.59999999806,2.799999999999984,77104.0,8.599999999999946,40.100000000000236,29.799999999999976,21.39999999999988,7.280000000000012,86.20000000000047,0.8685156499486134,0.055838202657692605,0.026722995355603022,0.045096418834539076,0.0038267332035593063,0.135,5.533333333333334,7.916666666666667,26.900000000000002,59.63333333333333,5.816666666666666,423.3333333333333,52.788333333333334,0.0029307204756359793,0.011351147799283364,0.07266569455525902,CO
6,Connecticut,72839.36858006043,4959.220408163265,1525541.8545454545,8.0,1593772.335347432,610.0601265822785,11399.985507246376,,,,,8778.391304347826,1712689.9902280131,,,86911.0081632653,3413.5374149659865,955.2163265306123,,,,,,,,,,,112112.22727272728,7601.114942528736,9.0,755.3564954682779,16490.238670694864,1593772.3595166162,17245.59516616314,1593772.335347432,,21.28700906344411,37.03021148036254,0.0,0.0,0.0,0.0,0.0,,-18.67069486404834,-7.622356495468278,52.6404833836858,-30.90332326283988,-31.821752265861026,11.027190332326285,-7.275528700906348,2.4773413897280965,0.3547400611620795,2.120845921450151,1.0,1.3444108761329305,0.9483282674772037,3.4773413897280965,0.9294478527607362,0.9395770392749244,1.0,0.8066465256797583,0.3857677902621723,1.5347432024169185,1.0,0.6102719033232629,72852.29003021149,3999.785498489426,61.36021148036238,62.265498489425795,61.667160120845985,3565287.0,248818.70000000155,3.700000000000023,78920.0,9.5,38.89999999999977,24.5,27.100000000000165,9.440000000000046,88.0,0.7973554397080643,0.1335889965578049,0.011797635119725751,0.055026770348565096,0.0022311582658418603,0.11,1.8999999999999997,4.416666666666667,21.733333333333334,71.95,5.833333333333333,358.1666666666667,60.17599999999999,0.00597062987171695,0.01038631994573299,0.04379996678516095,CT
7,Delaware,21953.677710843374,1437.4425531914894,207811.14156626505,11.636363636363637,390987.7706422018,172.6070287539936,,27.22374429223744,,,,7947.765625,,24274.483180428135,,27892.336170212766,488.3121212121212,64.12121212121212,390987.7706422018,286171.10984848486,,,,,,,,,,,10.0,235.15361445783134,1529.9126506024097,229765.2048192771,3707.4789156626507,229764.81927710844,,3.283132530120482,0.0,0.0,0.0,0.0,0.0,0.0,,-14.340361445783133,-4.036144578313253,32.07335907335907,-31.80674846625767,-30.337349397590362,10.213855421686747,-11.530220883534135,2.3132530120481927,0.2826086956521739,1.7710843373493976,0.8043478260869565,1.6475903614457832,1.0,2.7951807228915664,1.0,0.5120481927710844,1.0,1.4789156626506024,1.0,1.2921686746987953,1.0,0.6957831325301205,21956.35843373494,582.9578313253012,58.94957831325315,58.64683734939754,59.2471686746987,973764.0,63280.199999999604,3.7999999999999763,70348.0,10.199999999999946,31.399999999999807,26.80000000000006,31.600000000000193,12.940000000000028,83.29999999999953,0.6950547998352402,0.24303619711384677,0.013480290709909469,0.04636517864177812,0.0020635336992307356,0.11,1.6166666666666665,4.316666666666666,20.966666666666665,73.06666666666668,6.466666666666666,301.8333333333333,58.57033333333334,0.0033715895536500446,0.0,0.06342682448291186,DE
8,District of Columbia,14038.225225225226,,,3.75,340251.03603603604,180.0625,,49.90217391304348,,30.205574912891986,,9578.560897435897,,,,,,,340251.03603603604,211764.05905511812,,,,,,,,,,,11.0,110.72672672672672,0.0,14038.495495495496,3304.6846846846847,14038.225225225226,,2.7417417417417416,0.0,0.0,0.0,0.0,0.0,0.0,,-51.37537537537538,-22.78078078078078,-38.46546546546546,-66.01501501501501,-50.171171171171174,17.426426426426428,-45.76156156156152,,,,,,,,,,,,,,,,,,,,,705749.0,125935.5,,,,,,,,,,,,,,0.22,0.9500000000000001,4.416666666666667,19.016666666666666,75.61666666666666,8.15,199.0,74.10350000000001,0.003884868050456666,0.0,0.03350598840484888,
9,Florida,543328.0385756677,85990.46198830409,3510234.3383233533,3336.5349544072947,6401738.878338279,4816.140776699029,33781.20504731861,,,,,,7637734.073076923,908744.1,6693031.284615384,863153.2748538011,3865.910891089109,,6401738.878338279,5086154.204545454,552966.1397849462,54178.1935483871,498535.3817204301,465742.43265306123,42472.816326530614,423122.2326530612,,,,,12.0,5013.946587537092,25108.20178041543,4025571.3293768545,56847.16617210682,4022314.0,,79.86646884272997,217.7566765578635,0.0,0.0,0.0,0.0,0.0,,-24.40652818991098,-12.350148367952523,-25.255192878338278,-40.02670623145401,-30.525222551928785,9.732937685459941,-26.51275964391692,2.1335311572700295,0.6840490797546013,1.7329376854599408,0.003105590062111801,1.540059347181009,0.11042944785276074,2.8991097922848663,0.0,0.712166172106825,0.0,1.8367952522255193,0.09627329192546584,0.7952522255192879,1.0,0.43026706231454004,551949.9109792284,10018.284866468843,48.038931750741824,44.89350148367942,46.01367952522256,21477737.0,950759.1000000003,3.1000000000000134,59198.0,12.0,29.200000000000014,30.0,28.799999999999997,21.5,91.2000000000005,0.7734444909093815,0.17777560456469374,0.00999746215995012,0.03614276136820039,0.002639680997779424,0.155,2.733333333333333,5.6499999999999995,21.75,69.85000000000001,4.466666666666666,615.0,60.30466666666667,0.003718570017070698,0.010138716036883379,0.08820046671028753,FL
10,Georgia,267633.5928143713,83058.46666666666,,,2279697.083832335,2495.960144927536,22620.402555910543,,4624.467857142857,,,,2279697.083832335,229207.73353293413,,293102.2014388489,9641.388888888889,922.7444444444444,,711656.5714285715,287443.528,26833.31557377049,,,,,,,,,13.0,2722.8832335329344,0.0,267633.5928143713,19319.59880239521,267633.5928143713,,42.50898203592814,150.41017964071855,0.0,0.0,0.0,0.0,0.0,,-16.37125748502994,-4.637724550898204,19.823353293413174,-32.712574850299404,-30.440119760479043,9.428143712574851,-12.867664670658685,2.3892215568862274,0.3773006134969325,1.0,1.0,1.8892215568862276,1.0,3.095808383233533,1.0,0.49101796407185627,0.0,1.8622754491017963,0.08360128617363344,0.0,,0.0,267664.84431137727,5327.476047904192,48.01526946107777,46.44844311377255,46.546646706586635,10617423.0,539536.3000000014,3.399999999999994,61950.0,13.300000000000084,30.700000000000045,28.19999999999998,27.899999999999828,17.5,75.09999999999967,0.6063246364838049,0.3312251027799208,0.01122389993347553,0.04905820250232511,0.0021681583004773044,0.15,3.5,6.45,23.933333333333334,66.15,5.116666666666666,485.3333333333333,62.649999999999984,0.004003700524687407,0.014166354645634685,0.1409389118989032,GA
11,Hawaii,8741.365558912386,315.6137931034483,103248.34803921569,,322874.6377245509,110.56435643564356,680.5923566878981,27.026881720430108,,18.123655913978496,,3044.2272727272725,189758.52898550723,8456.20359281437,27632.0,17392.924137931033,122.49019607843137,,322874.6377245509,150173.23484848486,,,,,,,,,,,15.0,79.39520958083833,0.0,71724.71556886227,2956.505988023952,71724.71556886227,,1.2275449101796407,6.188622754491018,0.0,0.0,0.0,0.0,0.0,,-37.67065868263473,-21.29940119760479,-45.038922155688624,-58.275449101796404,-35.23053892215569,13.568862275449101,-39.50299401197605,2.2994011976047903,0.2939297124600639,2.0269461077844313,0.9842767295597484,1.5688622754491017,1.0,3.748502994011976,1.0,0.5958083832335329,1.0,1.8892215568862276,0.9842767295597484,1.8682634730538923,1.0,1.867867867867868,8675.622754491018,112.77544910179641,70.8446846846846,61.978802395209556,65.05338323353308,1415872.0,83509.39999999956,2.7000000000000153,83734.0,8.199999999999978,32.5,31.700000000000063,27.69999999999997,21.10999999999989,91.90000000000055,0.3245607565260929,0.026904617654031668,0.019888312304085602,0.4274156415457168,0.20123067197007513,0.09,3.35,5.349999999999999,25.016666666666666,66.33333333333333,7.283333333333332,287.0,57.36966666666666,0.0008669886191545851,0.004370891404372018,0.026854405133102378,HI
12,Idaho,45789.32024169184,7891.723021582734,203140.47129909365,,242301.60725075527,187.9198717948718,2020.5838709677419,55.91869918699187,425.43648208469057,,,23046.85172413793,732035.0833333334,,,46475.69784172662,541.3779527559055,63.669291338582674,,242301.60725075527,,,,,,,,,49598.52272727273,,16.0,491.4894259818731,1421.7824773413897,248929.7915407855,1822.0181268882175,248929.7915407855,,5.211480362537764,20.163141993957705,0.0,0.0,0.0,0.0,0.0,,-6.259818731117825,6.7492447129909365,99.21254355400697,-1.1691842900302114,-25.45619335347432,5.858006042296073,12.048489425981868,2.1389728096676737,0.1746031746031746,1.8670694864048338,0.3929712460063898,1.2507552870090635,0.6026490066225165,3.4622356495468276,0.5264900662251656,0.11178247734138973,1.0,0.5921450151057401,1.0,1.0241691842900302,0.358695652173913,0.3987915407854985,46270.90332326284,477.13293051359517,46.84380664652578,38.196525679758274,42.67870090634454,1787065.0,72494.39999999973,2.8999999999999844,60830.0,9.400000000000055,26.899999999999835,35.899999999999785,27.699999999999964,6.890000000000026,70.59999999999974,0.9292882026251507,0.01427571423513028,0.028036639874053772,0.02408175605557529,0.004317687210090957,0.11,6.483333333333334,9.75,29.88333333333333,53.86666666666667,6.55,335.6666666666667,51.07150000000001,0.002916223171813988,0.01128282518764438,0.26975001989759373,ID
13,Illinois,343319.1886227545,2043.291390728477,4697151.976047904,66.0,5040471.164670658,3043.963333333333,,706.31,,379.8933333333333,,,6591980.80632411,,,204024.01570680627,9889.50566037736,571.7689075630252,,821166.8695652174,,,,,,,,,,,17.0,3372.1467065868264,44649.30239520958,5040473.535928144,48021.44910179641,5040471.164670658,,63.631736526946106,0.0,0.0,0.0,0.0,0.0,0.0,,-22.338323353293415,-3.7724550898203595,36.74550898203593,-36.19760479041916,-32.33832335329341,10.89820359281437,-11.58023952095808,2.6017964071856285,0.24610591900311526,1.377245508982036,0.8167701863354038,1.2724550898203593,1.0,3.4760479041916166,0.7384615384615385,0.0,,1.3892215568862276,0.978125,1.8682634730538923,0.33753943217665616,0.0,343211.0628742515,8432.520958083833,53.62502994011975,51.84772455089824,51.68275449101797,12671821.0,782019.0,4.0,69212.0,11.09999999999994,34.10000000000021,28.7,26.10000000000016,11.0,88.5,0.7693451470976171,0.15335031646879355,0.010923145675708854,0.06492875977711646,0.001452630980772207,0.14,2.9166666666666665,6.416666666666667,23.366666666666664,67.3,4.8,506.6666666666667,56.99116666666666,0.0050215147867813245,0.0,0.07022167738917065,IL
14,Indiana,161087.8403614458,,970024.387195122,,2019080.5816023739,1568.340425531915,16234.748175182482,466.5847176079734,3112.4052044609666,195.56810631229237,,140502.59349593497,2019080.5816023739,162327.18397626112,,,4102.478102189781,241.32830188679245,,1395927.6136363635,,,,,,,,,,,18.0,1859.5905044510387,6917.462908011869,1102816.5044510385,20814.596439169138,1102816.5044510385,,29.596439169139465,119.72700296735906,0.0,0.0,0.0,0.0,0.0,,-11.068249258160238,-0.7210682492581603,87.52522255192878,-6.445103857566766,-25.83679525222552,7.572700296735905,8.690801186943608,2.5514018691588785,0.49514563106796117,1.420731707317073,0.9337539432176656,1.3475609756097562,0.939297124600639,2.398753894080997,0.8472727272727273,0.18991097922848665,0.0,0.4599406528189911,0.13138686131386862,1.1364985163204748,0.0778816199376947,0.5637982195845698,158699.50148367952,3813.347181008902,44.6779268292682,46.42018292682932,46.66481707317072,6732219.0,332040.59999999823,3.2999999999999794,57617.0,11.400000000000063,25.899999999999835,29.100000000000186,33.5,10.940000000000046,72.4000000000003,0.8488924522743495,0.10985703754994826,0.009672394234459085,0.030160586107859374,0.0014175298333912317,0.135,4.3,8.283333333333333,24.983333333333334,62.400000000000006,5.683333333333334,423.5,53.014,0.004396238323372942,0.017784181258417034,0.0893406946363678,IN
15,Iowa,87953.74096385542,,480569.2560240964,13.125,568522.9969879518,438.53035143769966,106.0,112.51178451178451,,56.90909090909091,,78591.89102564103,2210334.1403508773,263172.48214285716,1973389.5535714286,87952.76204819277,,,,710831.8333333334,,,,56705.782945736435,4467.647286821705,52201.817829457366,107927.99363057326,21281.299363057326,880320.125,45377.94642857143,19.0,805.8975903614457,2970.225903614458,568523.313253012,3776.123493975904,568522.9969879518,,14.762048192771084,0.0,0.0,0.0,0.0,0.0,0.0,,-11.828313253012048,11.352409638554217,98.46774193548387,-8.80722891566265,-23.728915662650603,7.406626506024097,11.77364457831325,2.3644578313253013,0.29102167182662536,1.0060240963855422,0.8125,0.7048192771084337,1.0,1.2409638554216869,1.0,0.4186746987951807,0.0,0.4789156626506024,0.9937106918238994,0.0,,0.0,98380.3734939759,1408.9036144578313,31.623554216867564,40.09617469879523,35.074548192771054,3155070.0,173688.39999999903,2.700000000000015,61807.0,8.0,28.199999999999978,32.6000000000002,31.100000000000193,8.780000000000042,64.0,0.9058583231889886,0.05036716778324292,0.010479021001817182,0.031035635749937816,0.0022598522760118103,0.13,3.5,8.166666666666666,28.483333333333338,59.88333333333333,6.333333333333333,354.6666666666667,51.39266666666666,0.0046788338112216474,0.0,0.213419288761902,IA
